CL,D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.9999999999999981,0.002035886202480897,0.0015065310777587757,0.0013624322890151957,0.00031363755199479657,0.0009568133352250087,0.2579370686437583,0.7349512122046606,0.0018932320303295673,0.002844390897510596,9.539941498622193e-5,90.0
0.999999999999998,0.002037665105684879,0.0015273362409558785,0.001380019950920749,0.0003174629756732494,0.000853318580726071,0.25649499131196574,0.7362788379547628,0.0019636864600346936,0.0029478856520095335,9.539941498622193e-5,90.4
0.9999999999999978,0.0020394658872650256,0.001548559417413059,0.0013979655375061597,0.000321367389575373,0.0007498317314494018,0.25506360081042995,0.7375949923570183,0.002034048600790045,0.0030513725012862028,9.539941498622193e-5,90.80000000000001
0.9999999999999978,0.0020412889981402693,0.0015702087655001173,0.0014162758343387724,0.0003253522744472726,0.0006463527882867325,0.25364286880990883,0.7388996880524638,0.0021043172651988053,0.003154851444448872,9.539941498622193e-5,91.2
0.9999999999999977,0.0020431348977062937,0.0015922926157605623,0.0014349577774429737,0.00032941914304965736,0.0005428817522071519,0.2522327678634666,0.7401929364394759,0.002174491263095795,0.0032583224805284527,9.539941498622193e-5,91.6
0.999999999999998,0.002045004054018474,0.0016148194740835558,0.0014540184558225141,0.00033356954079062417,0.00043941862426102483,0.250833271416647,0.7414747476573876,0.002244569401248095,0.0033617856084745797,9.539941498622193e-5,92.0
0.9999999999999979,0.0020468969439784144,0.001637798024902753,0.0014734651140476387,0.00033780504636762116,0.00033596340558396734,0.24944435381785246,0.7427451305697984,0.002314550483050585,0.003465240827151637,9.539941498622193e-5,92.4
0.9999999999999978,0.0020488140535241317,0.0016612371344244736,0.001493305154904094,0.00034212727241851224,0.0002325160974008763,0.24806599032893248,0.7440040927475778,0.0023844333082163006,0.003568688135334728,9.539941498622193e-5,92.80000000000001
0.9999999999999978,0.00205075587782394,0.0016851458538870289,0.0015135461421014998,0.00034653786618168926,0.00012907670103001236,0.24669815713598756,0.7452516404515547,0.002454216672461521,0.003672127531705592,9.539941498622193e-5,93.19999999999999
0.9999999999999979,0.002052722922615427,0.001709549766626709,0.001534197222740494,0.00035103871384919945,0.00011203146616755536,0.24534083150057912,0.7465525600564604,0.0024590998171265736,0.003689172766568049,9.539941498622193e-5,93.60000000000001
0.9999999999999979,0.0020547157037017517,0.0017344489990039282,0.0015552667822443394,0.00035563161172223604,9.498642572944391e-5,0.24399399167879382,0.7478419605382534,0.0024639846862783542,0.0037062178070061606,9.539941498622193e-5,94.0
0.9999999999999978,0.0020567347471179293,0.0017598529217088181,0.0015767633117061636,0.0003603183857774424,7.794158176270202e-5,0.24265761692622934,0.7491198427431108,0.00246887096434726,0.0037232626509729025,9.539941498622193e-5,94.4
0.9999999999999978,0.0020587805893086267,0.0017857711857046173,0.001598695423308964,0.00036510089372078286,6.089693634923421e-5,0.24133168750446513,0.7503862060691968,0.0024737583342928937,0.0037403072963863703,9.539941498622193e-5,94.80000000000001
0.9999999999999978,0.0020608537773162306,0.0018122137125150908,0.0016210718635994077,0.00036998102682077343,4.3852491606523325e-5,0.24001618468880084,0.7516410484534034,0.002478646477542104,0.003757351741129081,9.539941498622193e-5,95.20000000000002
0.9999999999999977,0.0020629548689781786,0.001839190686901894,0.0016439015250043132,0.0003749607115615574,2.6808249688358658e-5,0.23871109077708455,0.7528843663565432,0.002483535073924082,0.003774395983047246,9.539941498622193e-5,95.6
0.9999999999999977,0.0020650844331327294,0.0018667125515168751,0.001667193455909812,0.00038004191114917376,9.764212785598816e-6,0.23741638909948465,0.7541161547472016,0.0024884238016028124,0.0037914400199500057,9.539941498622193e-5,96.0
0.9999999999999977,0.0020672430498325056,0.001894790003186923,0.001690956869566408,0.0003852266268984834,0.0,0.23613206402908613,0.7553364070844201,0.002493312337007145,0.0038084838496086457,9.539941498622193e-5,96.4
0.9999999999999976,0.0020694313105652667,0.0019234339905488105,0.0017152011520363776,0.00039051689952336436,0.0,0.23485810099321328,0.7565451152993518,0.002498200354758675,0.003825527469755778,9.539941498622193e-5,96.80000000000001
0.9999999999999976,0.0020716498184814728,0.0019526557128008244,0.0017399358693614179,0.0003959148103487852,0.0,0.233594486485399,0.7577422697760084,0.002503087527597616,0.003842570878084503,9.539941498622193e-5,97.2
0.9999999999999977,0.0020738991886282885,0.0019824666193786005,0.0017651707740966843,0.0004014224824600617,0.0,0.23234120807793537,0.7589278593311918,0.002507973526306785,0.003859614072247546,9.539941498622193e-5,97.6
0.9999999999999976,0.0020761800481897455,0.0020128784103960666,0.0017909158113312022,0.0004070420818018799,0.0,0.2310982544349525,0.7601018711936923,0.0025128580196338225,0.003876657049856371,9.539941498622193e-5,98.0
0.9999999999999974,0.00207849303673284,0.0020439030377199484,0.001817181124293074,0.00041277581823741477,0.0,0.22986561532598168,0.7612642909828208,0.0025177406742117234,0.003893699808480275,9.539941498622193e-5,98.4
0.9999999999999974,0.002080838806459388,0.002075552706568972,0.0018439770596201284,0.00041862594657602096,0.0,0.22864328163996855,0.7624151026863266,0.002522621154477761,0.0039107423456454585,9.539941498622193e-5,98.80000000000001
0.9999999999999974,0.0020832180224635032,0.00210783987754756,0.001871314172362017,0.00042459476757643295,0.0,0.22743124539970674,0.7635542886377504,0.0025274991225908506,0.003927784658834078,9.539941498622193e-5,99.2
0.9999999999999976,0.0020856313629945894,0.0021407772690391425,0.0018992032307676796,0.0004306846289311445,0.0,0.2262294997766692,0.7646818294932485,0.0025323742383474056,0.003944826745483275,9.539941498622193e-5,99.60000000000001
0.9999999999999976,0.002088079519725771,0.0021743778598968056,0.0019276552209021368,0.0004368979262365856,0.0,0.2250380391062183,0.7657977042079223,0.0025372461590957153,0.003961868602984191,9.539941498622193e-5,100.0
